TSK,PSFC,U10,V10,Q2,RAINC,RAINNC,SNOW,TSLB,SMOIS,DATETIME,WIND_SPEED
275.65,96487,-1.2,3.6,0.00386,0,0,0,275.7,0.2953,2018-04-30T22:00:00Z,3.79
274.15,95315.5,-0.9,3.5,0.00386,0,0,0,275.9,0.2661,2018-04-30T22:00:00Z,3.61
274.15,100048,2.9,0.5,0.00355,0,0,0,277.1,0.2388,2018-04-30T22:00:00Z,2.94
274.15,98084,2.9,1.9,0.00348,0,0,0,277.6,0.2358,2018-04-30T22:00:00Z,3.47
282.6,100151,-1,8.2,0.00492,0,0,0,273.2,0.2373,2018-04-30T22:00:00Z,8.26
274.15,95304,-0.1,3.4,0.00381,0,0,0,276.3,0.2777,2018-04-30T22:00:00Z,3.4
274.15,97727.5,3.3,1.9,0.00361,0,0,0,276.1,0.2365,2018-04-30T22:00:00Z,3.81
274.15,96433,-0.2,3.2,0.0037,0,0,0,276.7,0.2636,2018-04-30T22:00:00Z,3.21
274.15,98045,0.5,1.3,0.00404,0,0,0,277.6,0.2569,2018-04-30T22:00:00Z,1.39
274.15,97659,3,-0.9,0.00369,0,0,0,277.6,0.2746,2018-04-30T22:00:00Z,3.13
274.15,97388,1.8,3.2,0.00349,0,0,0,277.2,0.2444,2018-04-30T22:00:00Z,3.67
282.2,100264,1.5,9.1,0.00359,0,0,0,273.2,1,2018-04-30T22:00:00Z,9.22
274.15,98826,-0.8,3,0.00439,0,0,0,276.9,0.2959,2018-04-30T22:00:00Z,3.1
274.15,97906,0,1.7,0.00366,0,0,0,278.5,0.2738,2018-04-30T22:00:00Z,1.7
280.1,100190,5,3.4,0.00433,0,0,0,273.2,1,2018-04-30T22:00:00Z,6.05
274.15,96403,-1,3,0.00366,0,0,0,276.7,0.2929,2018-04-30T22:00:00Z,3.16
274.15,98180,0.2,4.6,0.00367,0,0,0,276.7,0.2665,2018-04-30T22:00:00Z,4.6
280.4,100367,-0.1,3.8,0.00503,0,0,0,273.2,1,2018-04-30T22:00:00Z,3.8
274.15,96522,2,3.3,0.00358,0,0,0,276.3,0.2326,2018-04-30T22:00:00Z,3.86
274.15,97864,2.1,3,0.00352,0,0,0,276.5,0.227,2018-04-30T22:00:00Z,3.66
280.6,100406,0.1,3.7,0.0048,0,0,0,273.2,1,2018-04-30T22:00:00Z,3.7
282.2,99949,-0.4,7.1,0.00527,0,0,0,273.2,1,2018-04-30T22:00:00Z,7.11
277.9,99043,2.3,0.1,0.00503499999999999,0,0,0,277.5,0.2775,2018-05-01T01:00:00Z,2.3
277.4,97054,3.9,0.8,0.00359,0,0,0,276.1,0.2687,2018-05-01T01:00:00Z,3.98
276.6,95854,1.8,4.7,0.00359,0,0,0,276.5,0.2454,2018-05-01T01:00:00Z,5.03
277.6,98773,0.5,6.2,0.0039,0,0,0,275.9,0.2632,2018-05-01T01:00:00Z,6.22
282.4,99890,-0.3,10.9,0.00521,0,0,0,273.2,1,2018-05-01T01:00:00Z,10.9
277.5,98289,0,2.9,0.00521,0,0,0,276.7,0.2865,2018-05-01T01:00:00Z,2.9
277.6,98679,-0.5,6.1,0.00454,0,0,0,276.1,0.2842,2018-05-01T01:00:00Z,6.12
277.2,99191,-0.5,5.5,0.00394,0,0,0,275.9,0.2661,2018-05-01T01:00:00Z,5.52
278.5,98433,0.6,5.6,0.00509,0,0,0,277.3,0.2956,2018-05-01T01:00:00Z,5.63
281.3,100057,0.6,5.2,0.00517,0,0,0,273.2,1,2018-05-01T01:00:00Z,5.23
277.2,96212,2.8,2.1,0.00309,0,0,0,276.3,0.2455,2018-05-01T01:00:00Z,3.5
279.2,100360,4.2,1.2,0.00432,0,0,0,273.2,1,2018-05-01T01:00:00Z,4.37
276.6,96927,3.5,6.1,0.00386,0,0,0,275.5,0.2629,2018-05-01T01:00:00Z,7.03
279.3,98643.5,5.3,1,0.00454,0,0,0,273.2,1,2018-05-01T01:00:00Z,5.39
275.9,93936,0.7,4.9,0.00375,0,0,0,276,0.266,2018-05-01T01:00:00Z,4.95
276.1,96238,-0.3,5.4,0.00455,0,0,0,275.1,0.2943,2018-05-01T01:00:00Z,5.41
276,98862,-0.4,5.1,0.00397,0,0,0,275.6,0.2663,2018-05-01T01:00:00Z,5.12
277.6,99811,-0.35,2.8,0.00381,0,0,0,276.3,0.2386,2018-05-01T01:00:00Z,2.82
276.9,97839,1.6,3.6,0.00365,0,0,0,276.4,0.2357,2018-05-01T01:00:00Z,3.94
282.6,99817,-0.4,10,0.00487,0,0,0,273.2,1,2018-05-01T01:00:00Z,10.01
275.2,95061,0.1,5.9,0.00422,0,0,0,275.5,0.2775,2018-05-01T01:00:00Z,5.9
277.6,97740,2.5,2.5,0.00323,0,0,0,276,0.2363,2018-05-01T01:00:00Z,3.54
276.4,96197,1.3,5.3,0.00443,0,0,0,275.7,0.2631,2018-05-01T01:00:00Z,5.46
277,97813,1.4,3.8,0.00373,0,0,0,277.1,0.2568,2018-05-01T01:00:00Z,4.05
